Timestamp,What is the gift's name?,Describe the gift,What does the gift cost?,Who is the manufacturer?,What is the link where people can buy it? (This should be the URL of this item on the seller's site.),Do we have the picture yet?,What type of gift are you looking for?,Picture file name,Who is the gift for?,What kind of person are they?,Price range
11/13/2012 12:02:21,Bed jacket,"Made by one of the few remaining underwear factories in the UK and using English lace, his beautiful silk bedjacket is too good to wear only at night
",89,Ayten Gasson,http://www.aytengasson.com/collections/silk-nightwear/products/harma-lace-bed-jacket,Yes,"Fashion, Luxury gifts",aytengassen.jpg,Woman,"Traditionalist, Ethical",£50-100
11/13/2012 12:04:53,Leather satchel,An old-school design from a lovely company specialising in hand-built bikes and accessories. It also has a smaller satchel – and do check out its stunning bikes,120,Beg Bicycles,http://www.begbicycles.com/ride/old-school-satchel,Yes,"Fashion, Accessories, Luxury gifts",begbikesbag.jpg,"Man, Woman","Outdoorsy type, Design lover, Traditionalist",+ £100
11/13/2012 12:10:35,Knitted dinosaur,A friendly dinosaur and some doughnut rattles from Best Year's crochet range – all of which are made in fair-trade conditions,12,Best Years,http://www.littlegifthouse.co.uk/ourshop/prod_2109532-Knitted-Green-TRex-Dinosaur.html,Yes,Toys,bestyears.jpg,"Child, Baby or toddler",Ethical,£10-25
11/13/2012 12:13:34,A-Z jigsaw,Little hands will love fitting the letters into the right slots – slightly older ones will enjoy methodically assembling the alphabet,13.99,Bigjigs Toys,http://shop.bigjigstoys.co.uk/products/productdetail/Chunky+Alphabet+Puzzle/part_number=BB055/12465.0.4.3.1019328.0.0.0.0?pp=20&,Yes,Toys,bigjigsatoz.jpg,"Child, Baby or toddler",Traditionalist,£10-25
11/13/2012 12:16:16,Beauty treat,"A miniature pampering gift that can also be hung on the tree. Contains a bath and shower oil that promises to enhance feelings of sociability – and who doesn't need that come Christmas Day evening? 
",12,Aromatherapy Associates,http://www.feelunique.com/p/Aromatherapy-Associates-Little-Treat?q=christmas,Yes,"Homes/ decor, Decorations, Beauty",aromatherapyassociates.jpg,"Woman, Teenager",Traditionalist,£10-25
11/13/2012 12:25:41,Beauty subscription,"If you're not sure what beauty products to buy as gifts, how about a subscription that selects the best products for individual needs? The recipient will get a beautifully packaged box every month full of well-known brands, as well as tips and content on the website
",From 20,Birchbox,http://joliebox.co.uk/,Yes,Beauty,birchbox.jpg,"Woman, Teenager",Traditionalist,£25-50
11/13/2012 12:29:12,Gift subscription,"A unique and beautifully designed magazine for kids, totally unlike anything else on the market. The illustrations are beautiful enough to please the most finickity parent, and fun enough to engage children. The recommended reading age is around five to 10 but this can be interpreted pretty loosely. A gift subscription of £26 is for four issues, or you can also sign up for eight",26,Anorak Magazines,http://shop.anorakmagazine.com/product/anorak-subscription-vouchers,Yes,"Stocking fillers, Toys, Homes/ decor, Stationery",Anoraksubscription.jpg,Child,"Design lover, Culture vulture",£25-50
11/13/2012 12:31:27,Child's rucksack,"A striking graphic design perfect for little animal lovers, this rucksack is screen printed on organic cotton. A monkey, owl or squirrel is also available",29.5,Mibo,http://www.mibo.co.uk/collections/rucksacks,Yes,"Kids clothes, Toys, Accessories",Backpack.jpg,"Child, Baby or toddler",Outdoorsy type,£25-50
11/13/2012 12:34:18,Knit your own dog,"All the instructions you need to knit your own dog – from spaniel to old English sheepdog. Even if you don't knit, the photos of the knitted dogs are adorable. And if you are reeling in horror, don't worry, there's a Knit your Own Cat version too",12.99,Anova Books,http://store.anovabooks.com/,Yes,"Toys, Craft, Decorations",bestinshow.jpg,"Man, Woman, Teenager, Child, Pet",Traditionalist,£10-25
11/13/2012 12:36:51,Knitting kit,"This kit contains everything you need to know to start casting off, all wrapped up in a sweet suitcase. As well as instructions you also get four balls of wool, bamboo needles, two needle kits with plastic and metal sewing needles and pins, felt squares and buttons. Lovely for junior crafters too",20,Buttonbag,http://www.buttonbag.co.uk/details.php?id=105,Yes,"Homes/ decor, Craft",ButtonbagKnitting.jpg,"Teenager, Child",Traditionalist,£10-25
11/13/2012 12:44:49,Stationery advent calendar,"A truly luxury gift for a stationery fetishist – they had better not expect anything on Christmas Day after this advent gift. Among other treats are traditional Japanese scissors, a Fürst mechanical pencil and a Leuchturm tiny address book",110,Nonesuchthings,http://nonesuchthings.com/,Yes,"Homes/ decor, Stationery, Decorations, Luxury gifts",AdventHighRes.jpg,"Man, Woman",Design lover,+ £100
11/13/2012 12:47:44,Tree decoration,Put a pooch in your tree with this sweet felt decoration (also available is a very fetching Christmas pud),4.5,Cath Kidston,https://www.cathkidston.co.uk/p-18808-cath-kidston-stanley-felt-decoration.aspx?referrer=category,Yes,"Homes/ decor, Decorations",CathKidston.jpg,"Child, Baby or toddler, Pet",Traditionalist,Under £10
11/13/2012 12:50:25,Thermos flask,"Everyone needs a nice vacuum flask for picnics, road trips, or hot chocolate in the playground. The cap doubles up as a drinking cup and the design is sweet enough for kids but also works for adults. Holds 350ml, and is BPA free
 ",22.35,Blafre ,http://www.iglookids.co.uk/igloo-clothing-products/brand-blafre/blafre-hedgehog-thermal-flask/5409/,Yes,"Homes/ decor, Gardens, Food gifts",BlafreHedgehog.jpg,"Teenager, Child, Baby or toddler, Couples","Outdoorsy type, Traditionalist, Ethical",£10-25
